id,name,address,city,lat,lon,notes
v01,Multisala Rossini,Campo S. Fantin 1965,Venezia,45.4337096,12.3338572,
v02,Teatrino di Palazzo Grassi,Campo San Samuele,Venezia,45.433439,12.3279107,
v03,Consolato di Svizzera,Campo Sant'Agnese 810,Venezia,45.4295471,12.3277549,
v04,Casa del Cinema (Sala Pasinetti),Salizada San Stae 1990,Venezia,45.4408715,12.3300314,
v05,PANORAMA,Campiello S. Zulian 602A,Venezia,45.4359216,12.3384561,
v06,COMBO,Campo dei Gesuiti 4878,Venezia,45.4431351,12.3387658,
v07,Fumetteria Super Zazà,Santa Croce 270,Venezia,45.4372863,12.320465,
v08,Cinema Giorgione,Campo San Polo 201,Venezia,45.4375108,12.3299483,
