id,name,address,city,mapLink
v01,Multisala Rossini,Salizzada de la Chiesa o del Teatro,Venezia,https://goo.gl/maps/7Z1z5f8x9y72
v02,Teatrino di Palazzo Grassi,Campo San Samuele,Venezia,https://goo.gl/maps/3Z1z5f8x9y72
v03,Consolato di Svizzera,Campo Sant'Agnese 810,Venezia,https://goo.gl/maps/4Z1z5f8x9y72
v04,Casa del Cinema (Sala Pasinetti),Salizada San Stae 1990,Venezia,https://goo.gl/maps/5Z1z5f8x9y72
v05,PANORAMA,Campiello S. Zulian 602A,Venezia,https://goo.gl/maps/6Z1z5f8x9y72
v06,COMBO,Campo dei Gesuiti 4878,Venezia,https://goo.gl/maps/7Z1z5f8x9y72
v07,Fumetteria Super Zazà,Santa Croce 270,Venezia,https://goo.gl/maps/8Z1z5f8x9y72
v08,Cinema Giorgione,Campo San Polo 201,Venezia,https://goo.gl/maps/9Z1z5f8x9y72
